criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1492","arrieros",,56.70391061452514,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 203 sobre una mediana exacta de 358"
"prestigio","casa y partida","1492","canteros",,129.88826815642457,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 465 sobre una mediana exacta de 358"
"prestigio","casa y partida","1492","ferrones",,38.547486033519554,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 138 sobre una mediana exacta de 358"
"prestigio","casa y partida","1492","hortelanos",,188.8268156424581,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 676 sobre una mediana exacta de 358"
"prestigio","casa y partida","1492","mercaderes",,70.11173184357541,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 251 sobre una mediana exacta de 358"
"prestigio","casa y partida","1492","mesta",,131.84357541899442,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 472 sobre una mediana exacta de 358"
"prestigio","casa y partida","1492","monjes",,241.0614525139665,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 863 sobre una mediana exacta de 358"
"prestigio","casa y partida","1492","salineros",,9.776536312849162,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 35 sobre una mediana exacta de 358"
"actividad","casa y partida","1492","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","canteros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","ferrones",,3.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","7 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","ferrones",,0.5,"% de turnos sin decisión útil","< 10 %","cumple","","1 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mercaderes",,0,"% de turnos sin proponer órdenes","< 10 %","cumple","","0 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mesta",,7,"% de turnos sin proponer órdenes","< 10 %","cumple","","14 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","monjes",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
